id,title,excerpt,content,createdAt,anonymousSchool,anonymousDepartment,gender,forumName,forumAlias,topics,commentCount,likeCount
238955238,無法接受朋友嫁給工人,我和閨蜜a家境都算不錯，我們倆從小就讀知名國際學校，朋友圈也都差不多，大家也常常帶另一半出來玩，因為剛好前一段時間我在趕研究所畢業論文加上疫情，所以有一段時間沒有跟朋友聚會好好聊天，上個月a突然打給我,"我和閨蜜a家境都算不錯
我們倆從小就讀知名國際學校
朋友圈也都差不多
大家也常常帶另一半出來玩
因為剛好前一段時間我在趕研究所畢業論文加上疫情
所以有一段時間沒有跟朋友聚會好好聊天
上個月a突然打給我說她懷孕了 要登記結婚
然後她男友是個工地的工人
我一開始蠻震驚的（畢竟跟我們的生活圈完全沒有交集）
問她她父母有說什麼嗎
她說：一開始她父母反對，但是她男友很man，說只要把她肚子搞大，她父母就算反對也只能接受了！果然懷孕了他父母也只能點頭，但不准他們住在家裡
……
好喔我實在不懂為何這樣很man？?
不過既然她都決定了人家父母也沒說話
那我也不方便多說些什麼
就還是祝福
問題來了
自從a上個月和她的工人老公結婚後
莫名認識了一堆+9妹（她老公朋友的女朋友或老婆）
之前朋友們聚餐 她也帶了那些+9妹朋友一起來
吃飯期間滿嘴髒話就算了，吃到一半還會把腳跨在桌子上，頭髮染成彩色的，妝濃的不可思議搭配驚悚的放大片，甚至還穿著品牌根本沒出過的假貨
a也變得很能融入他們了….
雖然當下大家都還是有做做樣子禮貌性陪笑
但就感覺我們是不同世界的人啊
反正後來其他朋友們也說好之後聚會都不會約
a了
可是因為a和我真的互相陪伴彼此好多年了
我應該提醒她要她遠離那些+9妹
還是乾脆就割捨我們的友誼慢慢遠離她了
？
如果是你們會怎麼做呢",2022-05-21T23:12:48.710Z,TRUE,TRUE,F,心情,mood,[],10,3
238955235,看熱鬧的小孩撿角,如題，最近還多廟會活動，無意間聽到身邊的長輩說，看熱鬧的小孩這輩子真的撿角，我心裡想說，小朋友只是好奇而已，應該不用這樣說…..,如題，最近還多廟會活動，無意間聽到身邊的長輩說，看熱鬧的小孩這輩子真的撿角，我心裡想說，小朋友只是好奇而已，應該不用這樣說…..,2022-05-21T23:11:00.194Z,FALSE,TRUE,F,閒聊,talk,"['廟會', '閒聊', '台灣', '時事', '生活']",1,0
238955232,渣男,,此篇文章為轉貼文章，請更新至最新版本觀看完整內容。,2022-05-21T23:08:42.014Z,TRUE,TRUE,F,感情,relationship,"['渣男', '新竹', '感情', '交友軟體', '女孩']",4,4
238955231,男生都愛臭婊子,臭婊男生平常罵歸罵，其實還是最喜歡這種的吧，不然為什麼男友一邊說，我是很乖很棒的女生，一邊跟到處釣狗公找工具人的臭婊子好上了，交往4年，任勞任怨做家事，除了生日不過節，生日也都是我在送他手機什麼的，他,"臭婊男生平常罵歸罵
其實還是最喜歡這種的吧
不然為什麼男友一邊說
我是很乖很棒的女生
一邊跟到處釣狗公找工具人的臭婊子好上了
交往4年
任勞任怨做家事
除了生日不過節
生日也都是我在送他手機什麼的
他只請我吃個飯還總是差點忘記我的生日
從來也沒要求過他任何事情任何東西
每天晚上抱著說有多愛我
結果轉頭在手機跟臭婊子聊色情
還跟她抱怨我奶不夠大不夠騷沒有情趣
上個月被我發現要跟他分手
結果說啥只是喜歡她的body
但是我拒絕
就惱羞說不想跟我這種老媽子過了
後來聽說分手後
他馬上找臭婊子要求在一起
結果人家根本不屌他
前天520前男友辦小帳在那邊求我
笑死人了
有些女生會變成臭婊子只能怪你們男生
因為你們喜歡
交往2任都以這種形式告終
傻子才當乖女孩
我要來去釣狗公了",2022-05-21T23:08:29.196Z,TRUE,TRUE,F,感情,relationship,[],5,5
238955230,#開箱 NARUKO茶樹抗痘粉刺寶-消腫痘救星?,這是我第一次用牛爾粉刺寶，使用第一天就很有感，我是直接塗抹全臉，下巴痘痘就直接冒出頭並且直接消腫，後面幾天有繼續擦，整個臉油光變少，而且還變亮的感覺，使用起來質地很清爽而且涼涼的，到第三天的時候我就使,,2022-05-21T23:08:22.929Z,FALSE,FALSE,F,美妝,makeup,"['開箱', '茶樹', '保養', '抗痘']",1,45
238955222,早安安各位,求凱瑞????，最近一直連輸，目前掉到星耀三，希望能帶我上分，我走中射（但不強！，不要嘴我都來,"求凱瑞???♀?
最近一直連輸
目前掉到星耀三
希望能帶我上分
我走中射（但不強！
不要嘴我都來",2022-05-21T23:03:34.525Z,FALSE,TRUE,F,傳說對決,aov,['傳說對決'],3,1
238955221,#活動 尋找美睫麻豆 大量收集特殊款式作品,??10年美睫資歷??，費用：免費，款式：仙女睫毛（鳳尾蝶）、四葉草爆濃款、各類特殊款，地點：高雄市三民區，時間：5/23 10：30 & 12：30（其他時段私訊詢問），時長：1.5-2小時（非新手，不,"??10年美睫資歷??
費用：免費
款式：仙女睫毛（鳳尾蝶）、四葉草爆濃款、各類特殊款
地點：高雄市三民區
時間：5/23 10:30 & 12:30（其他時段私訊詢問）
時長：1.5-2小時（非新手，不需久躺）
??收集累積特殊款式作品照
??需配合拍照、追蹤、分享、評論
??勿遲到臨時取消
??操作當天勿上妝、需配戴有色隱眼
??如需卸睫+200
??半年內無眼部手術、眼疾患者
??三個月內施作角蛋白者不適
??兩個月內施作眼線不適
??公主病完美主義者不適
??禁止攜伴
填單報名??????????
https://docs.google.com/forms/d/e/1FAIpQLSfvSr3FcAxk6gZFiwXWuVTBzDti2dqeTtL4Rb751weXXNH3WQ/viewform?vc=0&c=0&w=1&flr=0

https://i.imgur.com/GFdtHy3.jpg",2022-05-21T23:02:48.831Z,FALSE,FALSE,F,美妝,makeup,"['美睫', '麻豆', '尋找', '徵', '免費']",3,47
238955217,兄弟們 快追鴨！,,https://megapx-assets.dcard.tw/videos/bedf3a3d-2ab7-4e60-b8e3-ff74104ab3d8/orig,2022-05-21T23:01:24.054Z,FALSE,TRUE,F,有趣,funny,[],2,28
238955214,男人真的只喜歡長頭髮女人嗎？,男人真的只喜歡長頭髮女人嗎？短頭髮女人就不行嗎？這是什麼迷思？！，短頭髮也是很有魅力的，還是男人都認為一定是女同嗎？誰規定女人不可以短頭髮的！,"男人真的只喜歡長頭髮女人嗎？
短頭髮女人就不行嗎？
這是什麼迷思？！
短頭髮也是很有魅力的
還是男人都認為一定是女同嗎？
誰規定女人不可以短頭髮的！",2022-05-21T22:58:25.167Z,FALSE,FALSE,F,閒聊,talk,"['女生', '閒聊', '髮型意見', '有趣']",10,0
238955213,陳怡蓉的演技算好嗎,最近在看翻牆的記憶，看到陳怡蓉的片段就覺得很尷尬，表情好像一直都是那樣，尤其是講台詞的時候，真的超級無敵出戲，跟聲音應該沒關係，應該是語調的問題，非常的飄然，一聽就覺得這個人絕對是在背台詞，但是她卻好,"最近在看翻牆的記憶
看到陳怡蓉的片段就覺得很尷尬
表情好像一直都是那樣
尤其是講台詞的時候
真的超級無敵出戲
跟聲音應該沒關係
應該是語調的問題
非常的飄然
一聽就覺得這個人絕對是在背台詞
但是她卻好像演過很多女主欸
雙城記還有加油吧什麼的忘記了一個女議員的
看她上節目表現的時候覺得很自然很討喜
但真的不懂她的演技
可能只有我覺得吧
https://sticker-assets.dcard.tw/images/e065241a-e07b-4703-a8fe-7d8776ff624b/orig.png",2022-05-21T22:58:12.950Z,FALSE,TRUE,F,閒聊,talk,"['演技', '陳怡蓉']",1,0
238955212,雙子、摩羯疑惑 內有匿名群組，可閒聊 提問 交友。,以下群組可以讓正在為雙子困擾的妳（你），得到不同雙子的解答。想了解更多雙子，或是想追雙子，想得到更多不同解答，可以加入下方LINE群，裡面有很多雙子願意解答各位的問題 想法 做法 閒聊，也可以交到許多,"以下群組可以讓正在為雙子困擾的妳（你），得到不同雙子的解答。

想了解更多雙子，或是想追雙子，想得到更多不同解答，可以加入下方LINE群，裡面有很多雙子願意解答各位的問題 想法 做法 閒聊，也可以交到許多朋友，麻煩大家了。


下方連結可以將妳（你）帶往匿名群組

https://line.me/ti/g2/7B58ihgQn18x0_kuyh5aaW7L6joaVbO_77OGEw?utm_source=invitation&utm_medium=link_copy&utm_campaign=default

另外??????????

以下群組可以讓正在為摩羯困擾的妳（你），得到不同摩羯的解答。

想了解更多摩羯，或是想追摩羯，想得到更多不同解答，可以加入下方LINE群，裡面有很多摩羯願意解答各位的問題 想法 做法 閒聊，麻煩大家了。


下方連結可以讓你們找到通往回家（新家）的路。

https://line.me/ti/g2/EY-9aszmsPFdEYmDZHyhSH3Q17yVzI3MHW5FuQ?utm_source=invitation&utm_medium=link_copy&utm_campaign=default",2022-05-21T22:58:09.928Z,TRUE,TRUE,M,星座,horoscopes,"['雙子', '摩羯', '疑惑', '感情', '愛情']",0,0
238955211,#請益 #健身器材#請益#啞鈴,想請問 有人知道照片中的槓片，是哪一個牌子廠家？多年前買的，現在想加更重,"想請問 有人知道照片中的槓片
是哪一個牌子廠家？
多年前買的
現在想加更重
https://i.imgur.com/9KqltdS.jpg
https://i.imgur.com/rL2K3XL.jpg",2022-05-21T22:58:03.342Z,FALSE,FALSE,M,健身,fitness,"['健身器材', '啞鈴', '重訓', '健身']",3,0
238955210,#討論 婚戒挑選及售後服務重要嗎？,因為男友沒在戴戒指，所以他打算不買他的婚戒，後來我們就講好買一個婚戒 我戴就好，（我從小就很憧憬這件事 所以很想要一個婚戒），預算大概落在兩萬到四萬，我是要找個日常能配戴的婚戒，不喜歡太閃耀浮誇的鑽，,"因為男友沒在戴戒指
所以他打算不買他的婚戒
後來我們就講好買一個婚戒 我戴就好
（我從小就很憧憬這件事 所以很想要一個婚戒）
預算大概落在兩萬到四萬

我是要找個日常能配戴的婚戒
不喜歡太閃耀浮誇的鑽
目前試戴過覺得能接受到最大顆的鑽就到17分
（雖然我不知道17分也能叫做鑽嗎??）
主要喜歡戒台加上小鑽的整體設計和配戴的感覺
簡約的設計又不會太普通
而且由於我的手指比較細（最小的尾戒能戴到無名指）
所以偏好細一點的戒指 但不要線戒
由於本人認為婚戒是戴一輩子的 沒有要賣掉
所以不考慮黃金 想要不太會變色的鉑金材質
但看到板上有人把鉑金戴到變形
還是對鉑金心存疑慮……

有稍微看過文章推薦的品牌
但因為我覺得我買的不是大顆的鑽石
所以應該比較著重在售後服務吧？
畢竟這是我第一個比較貴的飾品
平常沒在戴飾品 很怕被粗魯的我弄壞
然後看到有人戴的婚戒在日常生活中很小心保護
但旁邊的小碎鑽還是掉過兩次
結果送去櫃上還要被收取工本費
我看她是說原本說好這個售後服務是免費的
結果被銷售員說這是人為疏失需要收取費用
對於很粗魯的我而言感覺掉鑽這件事需要考慮進去

我有去過百貨公司的幾個日系品牌和外面的銀樓
像是銀座白石有終身免費清洗和改戒圍
銀樓是一次免費清洗跟一次免費改戒圍
但其實我也不清楚人的一生中改戒圍的頻率高嗎？
或者戒指有需要經常清洗嗎？
這些售後服務使用率高嗎？

想問有買婚戒的人戴了幾年後 你們覺得
你們覺得戒指買喜歡的就好 售後服務使用率不高
還是其實售後服務非常重要？
相對日系品牌 銀樓的售後服務會不會不好？
終身免費跟一次性免費會差異很多嗎？

還有我想問一下有人去外面訂製過婚戒嗎？
不是很清楚訂製流程
但是我怕一開始只有草稿圖可以看
沒有實際的成品和戴在手上的感覺
怕做出來後才覺得不適合自己
還有成品的做工是否品質不一
這樣風險是不是很大？

如果以我的需求來講要選日系品牌、銀樓、訂製哪個比較適合？",2022-05-21T22:57:26.758Z,TRUE,TRUE,F,結婚,marriage,"['討論', '婚戒', '挑選', '結婚', '女孩']",10,13
238955207,開不起玩笑？,認識一年的室友不只一次，跟我開了胸部大小的玩笑。：哈哈哈part time做包子 笑死，：真勤勞 放假還得做parttime，：必須把自己養成包子，：你現在屬於小饅頭 ?離包子反正差點意思 哈哈哈哈，,"認識一年的室友不只一次，跟我開了胸部大小的玩笑。

??：哈哈哈part time做包子 笑死
??：真勤勞 放假還得做parttime
??：必須把自己養成包子
??：你現在屬於小饅頭 ?離包子反正差點意思 哈哈哈哈
??：？？？ 禁止人身攻擊 你這小竹籤
??：哈哈哈哈哈 你見過咋的 我可是能看見
??：其實這並不好笑 就有點那啥 好吧 並不想被關注這東西 請把眼睛移開 感恩啊
??：好吧 我錯了我道歉

（上面我說的包子是指，要把自己養成包子臉）

我男閨蜜和玩的很好的男性朋友都沒跟我開過這種玩笑，該說這個人沒品嗎？

個人覺得這只屬於「女性之間的玩笑」
男生說這個真的就跟你長的醜、胖、矮一樣具有攻擊力。",2022-05-21T22:54:33.877Z,FALSE,FALSE,F,閒聊,talk,"['感情', '閒聊', '女生', '交友', '朋友']",5,0
